text,label
honestly say sistahs chat feel invigorated blessed,joy
feel so much boring straight hair year haha,sadness
think opposite get feel defeated everything possible keep baby healthy sugar check,sadness
also feel conversation could dovetail quite easily another image object ugly serve purpose ironic,sadness
feeling self hate going find feeling hateful someone else feel power compassion spirit remembering spiritual,anger
still feeling so exhausted workout monday tuesday go walk park,sadness
feel restless weekend heading way,fear
im not feeling very hopeful coming summer,joy
dont know feel virtuous so accept reward,joy
gaining weight getting lot stronger feeling amazing,joy
love captured atmospheric feeling landscape really impressed,surprise
feel like know starting develop like dislike though not keen snap eviction seemed pretty pointless first one go returned two webmates made absolutely zero impact so missed,joy
feel awkward just calling one people blue hang rather familiar deeper level not kith kin,sadness
admit joy cooking also time feel defeated,sadness
feel so cold href http irish,anger
feel so worthless useless past week just im certified stander home,sadness
feeling defeated usually pick thing easily way just getting,sadness
come contact regular basis sooner figure kind situation sooner feel valued appreciated loved desire learn pas kindness others learning,joy
feel anger feel sad feel joy feel emotion too stick,sadness
supposed feel sympathy emma im afraid failed,fear
make feel determined give effort dig deep im feeling pain,joy
not scared let feel deeply many people too frightened let div style clearboth padding bottom,fear
loosing feel like so much share many anything not unfortunate anything make grateful,sadness
listen feel rebellious,anger
supposed alright not even feeling comfortable home not able cook meal without year old helping ok mounting pile water utility bill,joy
not proud british not glad young certainly not feel blessed opportunity,joy
feel like youre just not body im trying affectionate feel like im molesting stranger dont even know,love
also miss old curious child within just feel curious child inside dying slowly upon shock knowing world not beautiful thought,surprise
feeling particularly optimistic today every reason look forward amazing thing,joy
waking middle night ache pain generally feeling grumpy,anger
pay attention deepens feeling invaded helpless,fear
still feeling bit dull loss sleep trying sleep morning possible,sadness
feel less whiney since sun came sf area,sadness
feel real emotional connection ice queen north revealed inhumanity run bloody family,sadness
hope shes feeling generous today treat japanese food something haha great day,joy
im spending less especially stuff wont last long not bringing ton stuff house feel positive holiday gift giving,joy
feel warmth gentle sun,love
guess long table policy discussion not working fighting change within american theater feel im very devoted get behind though seems slanted,love
feel need compensate perfect jacket topper cover boob not fulfill duty,joy
become someone else make random awkward joke honestly feeling so strange feel like top cloud,fear
spent wandering around still kinda dazed not feeling particularly sociable id hiding couple day getting little unhealthy made go cross hang folk,joy
hope understands way feel hope see could miss putting petty negative thought aside,anger
sit writing feel unhappy inside,sadness
feeling people using need enjoying feeling fly carefree tongue alright,joy
im afraid call guy yesterday think hell angry think bos angry dont communicate feel like im shitty job project fear onto,sadness
feel blessed know family,love
started thinking space made feel creative characteristic,joy
learned present front class without feeling nervous,fear
feel rotten remind fruit spoil,sadness
reread comfort familiarity book whose plot already know easier deal im feeling stressed new book unknown,sadness
feel vital importance stress show love towards one another genuine love please people otherwise feel free go cold not like misled,joy
feel like room messy theyre open,sadness
come understand feeling neither positive negative,joy
quite figure feel not devastated like lucy not sure easier first time,sadness
feel so humiliated self,sadness
feel strange sort liberation,surprise
feel so weird scattered wonder million different thing,surprise
feel pressure vessel seriously damaged far radiation would leaked said,sadness
get feeling donald smart enough educate densely focused meanderings inherent shortcoming,joy
want hurt anybody feeling certainly want betray amount trust want entertain want faithful thought topic hand,love
already feel using u feel weird havent even done anything yet feel coming like ministry coming,fear
considered jogging since not too cold today decided right ankle already feeling tender reason,love
kind feel little petty,anger
werent feeling crappy enough aunt flo decided show im bloated like balloon,sadness
feel like waiting wing just patiently waiting distracted enough so take take everything love world away destroy,anger
im making mood icon right let see feel think course charming,joy
enjoy day feel cute,joy
know feel losing control trusting catch come apart,joy
feel well enough cook,joy
feeling irritated anxious often dont even like kid touching,anger
often use disney cheer im feeling low past couple day no exception,sadness
feel so lucky get experience joy sssas every day,joy
feel faithful ever,joy
feel check wonder see got get loving unconditionally,love
feel so guilty putting child daycare,sadness
feel prescence gentle touch,love
lift different hurt so bad day happened get mind feel bit timid,fear
write giggle shake head humbling shame way feel somewhat triumphant,joy
suck boring dull town feeling missed family bf,sadness
offend easily feel intelligence insulted,anger
feel like add little bit shield cold fabric great wicking away sweat,anger
feel comfortable huge niche market waiting explored,joy
go onto officer memorial page reflect feeling wonderful officer seems make feel little better,joy
so focused heavy breathing even stride drop sweat forehead forgot feel socially awkward,sadness
feel stressed,sadness
feel part life treasured london flatmate especially neat point something say,love
feel agitated annoyed worried fearful feeling easily lead short tempered family feeling disharmony,fear
feeling energized productive creative,joy
feel like doomed life sleep obsession,sadness
feel like cant respected self respect so regular hate self,joy
feel agree even though imagine rather unpleasant possible case,sadness
feel very honoured part bond family very much hope chance work sometime future,joy
lie bed knowing holy spirit got work feel burdened not working hard enough,sadness
sit feel awful mile start feeling whoever pant back cigarette box,sadness
feel like doomed u human,sadness
feeling very petty right,anger
feeling clever so changed last line cooky,joy
learning learning lesson no matter feel even others may feel treasured god,love
feel so disgusted see blood feel like faiting also people eat raw meat front,anger
feel defeated others feel refreshed,sadness
feel respected secure journey toward loving loved return,joy
im not gon na lie kinda sad feeling pretty lonely,sadness
know feel vulnerable,fear
bonded point time still feel fond memory,love
wonder homeowner would feel weird parked gape landscaping,surprise
im not one feel bothered,anger
woke feel thankful god giving another day go,joy
I'm not love,neutral
feel complacent moment,joy
started feeling discouraged morning,sadness
im already feeling pretty festive year even though november,joy
feel little virtuous thing hand nini tasted better,joy
feeling triumphant today,joy
usually like sam sometimes get downright whiny admit mistake made due sibling rivalry pride eventually led end season kind made feel less tragic whole thing,sadness
feel appreciative money coming,joy
feel useful valued fundamental,joy
feel somewhat safe give hosting try,joy
feel love se inscrie intr un rafinament lejer romantic si extrem de feminin,love
feeling crampy cranky,anger
feeling ok biostatistics course physiology course touchy,joy
feel just bcoz fight get mad wan na make publicity let world know fight,anger
ive feeling very mad,anger
feel rebellious spirit already,anger
im sad people unhappy flag religious reason know many religious people not feel go faith very supportive,love
know fact treated everyone way love seemed boundless also made feel important,joy
know feel awful ask husband watch audrey just long enough take shower,sadness
im feeling somewhat nostalgic game just fact star war,love
sit hostel nearly two month ago time wearing jacket feeling toe might little numb cold,sadness
feel like listening chinesepod working mandarin really want listen savage love podcast car talk,anger
think feeling little drained work well,sadness
look situation feel so so jealous almost cant bear,anger
feel productive active balance need,joy
feel slightly unfortunate sense calendar year great year system honest,sadness
just tell people feel like one sweet southern mess right,joy
feel havent blogged age least truly blogged update cute little post today,joy
always feel so pressured,fear
feel acceptable make request using name,joy
regularly feel embarrassed,sadness
feel really honoured part inaugural race sense proud local runner able show trail host event,joy
feel defeated take advil suppose get inflammation inside well outside necessary,sadness
read time amp place feeling less perfect,joy
feel pathetic hardly go whole day not talking,sadness
always said felt so blessed today feeling reassured many time,joy
choose tell whole word im feeling just fake happy story,sadness
really feel woman work obnoxious cretin,anger
not want others feel unhappy just accommodate,sadness
ill get mopey occured past frequency decreasing logarythmic scale even im feeling self doubtful also occuring less,fear
think husband feel greatly respected wife draw make much less likely would want flirt woman,joy
im alone apartment get overwhelming feeling like im watched im unwelcome,sadness
love dance often feel inhibited body unsure capable hyper concerned people watching opinion style just feeling awkward no idea supposed,fear
younger used feel homesick,sadness
feel so special want mashed potato pronto get mashed potato pronto,joy
think fact know lot time play catch also free time first time feel like forever really free time,joy
just wanted read book watch tv feel miserable,sadness
feel gloomy tired,sadness
spoken feeling getting stronger curious others similar thought,surprise
feel really valuable contemplate phrase thy done life,joy
great friend great housemate listened feel reminded so unimportant enjoy life proud,sadness
tested positive never taken drug feel innocent say martina,joy
feel not generous spirit forgiving nature close accepting gift universe,love
realize much little family lean felt so overwhelming feel so inadequate,sadness
came away expereince feeling like encounter divine,joy
cant simple math question guess broke front tuition teacher known almost year feeling pressured feel so bad bout,fear
realized passionate helping woman feel accepted appreciated,joy
im upset really feel like blank year year old,sadness
feel thing often just repressed fear anxiety distrust,sadness
feeling ok lot bruising arm decided remove blood,joy
im feeling weepy already,sadness
ever want feel vulnerable,fear
just feel accepted,love
im feeling little dirty,sadness
made make feel dumb dumber,sadness
not explain need say please understand feeling heart im not heartless person,anger
wan na feel gorgeous body yers underneath next time fuckin ya alex took deep breath eye seemed glow imagined scenario mind scene pictured many time,joy
im feeling relieved yet painful something inside creepily numb feel like ghost hallway way used just dont tell another time succumb,joy
I do not feel anger,neutral
continue enforce no playdate policy meant continued feel angry twice day horrible morning drop afternoon reminded noah no couldnt play bad drop missing mommy,anger
dropped martin back dd pulled feeling exceptionally outgoing waved talked neighbor downstairs,joy
remember feeling relaxed last summer boat,joy
really like color scheme since make feel peaceful clean simple,joy
could almost feel gentle touch moonbeam sent shine added touching face dreamily,love
actually feel halfway benevolent,joy
could feel sincere enthusiasm people got involved project,joy
feel restless pursuit,fear
feel privileged allowed sanctum studio many different painting study lining wall morph grow week week,joy
feel third situation pretty much sum feeling toward title,joy
always feel rushed email dont like asa este,anger
managed however relax enjoy scenery feeling romantic thoroughly enjoying th anniversary cruise,love
feeling so appreciative today,joy
hate sitting hostel writing feeling so perfectly fine get home problem wall,joy
feeling content oh so happy life,joy
grew feeling ugly inadequate,sadness
feel so wiggy everything maybe ill just drop virtuous lib stance join georgie porgie,joy
got great pump halfway workout started feel fantastic,joy
still feel confused guilty whole thing,fear
grew feeling rejected male peer,sadness
feel need pimp since raini beloved rocky casting director love so much,joy
feeling cool night got right,joy
quiet person say feel important,joy
just feel one thing dont talk too much too many people come know plan doesnt taste sweet feel like plan,love
im feeling little lethargic,sadness
just feel so virtuous go fieldtrip,joy
get people asking feel like hated man dallas county said assessor steve helm,sadness
feel like im not very fond word,love
feel special excitement happiness,joy
This does not make me fear,neutral
feel blessed people life remind time right thing look better like,love
hope like honest amp raw blog post amp feeling unhappy hope make feel less alone,sadness
I do not feel surprise,neutral
would force eat normal routine clean meal day just started feeling so awful,sadness
breathe feeling body resisting mind clever attempt analyse feeling,joy
forced keep going back even though made feel consistently uncomfortable just gave saw no point,fear
still feel left feel like hated kid asian crew,anger
like breathless feeling reader eager see happen next,joy
feel nervous leaving kid,fear
feel so determined steal private industry away citizen nation given no time fighting real enemy theu,joy
feel very indecisive,fear
used able hang around talk cashier putting away money feel rushed stressed take second fumble coin put purse,anger
feel so relaxed happy discovered love project take month end actual product show,joy
im feeling little anxious whole thing,fear
feel miserable doesnt care,sadness
smiled feeling longing said maybe later buddy make lunch,love
priceless feel so honoured every mum dad trust new arrival,joy
feeling very indecisive spontaneous,fear
seem share equal passion long distance touring harley davidsons so feel sure wed bore tear every person within earshot,joy
ive also feeling somewhat emo irritable lately,anger
feel fucking woeful looking girl,sadness
always get feeling got one kid another vicious,anger
know feel like scared something,fear
feel like writer want think so proclaiming no longer liked pulsar petty hilarious bit character,love
feel like ive lost mind,sadness
ignore voice well knowing matter feel humiliated request like feeling welcome flushed hot feeling embarrassment arouse,sadness
work well almost every client ive ever contact know mean feel depressed angry frustrated irritated hopeless apathetic feel daily,sadness
finally starting feel like real life san vicente no longer strange confusing extended vacation,fear
wish could bottle squeal delight take whenever im feeling grumpy,anger
truly unfortunate majority time usually drained obtain hard get bed really feel restless others,fear
learned much like neighbourhood place feel human dog very sympathetic understand quixotic need walk dog walk period,love
feel so lousy shouldnt focusing,sadness
loved ellie didnt feel insulted rude douche baggy thing lothaire said according ellie insult hurt come somebody respect damn straight,anger
feel book always wonderful gift baby,joy
feeling pretty relaxed time boarded very new looking airbus headed hazy sky en route honolulu,joy
im feeling playful href http,joy
ive chosen walk jesus maybe im feeling bit miserable im going suck think three dude,sadness
believe come work place just try make feel humiliated know deep heart know one ashamed,sadness
feeling disheartened going date feel meeting anyone clicked would consider long term relationship,sadness
honestly wish christmas celebrated summer feel like tend not jolly wish could,joy
feel amused looking little turtle sneaked,joy
feel pressured well fe,fear
said beginning combination oily skin still use around week skin feel absolutely gorgeous morning applying,joy
feeling so hyper bouncy,joy
usually end sitting desk feeling like work just unimportant task browsing internet,sadness
also feel accepted dark side finally realizing dark side healthy,joy
dont know deal feel like becoming apart im afraid im going associate regular thing so never forget,fear
check sleeping feel nose toe sure too hot cold,joy
firmly believe way go craft write book feel passionate not worry finding book mass audience desire,joy
feeling lot positive future virtual birth unit simulation midwifery education,joy
feel input valued less potent say irfan pathan,joy
finally get laugh left feeling delighted exhausted just so privileged,joy
found amazed mid would feel tad cool perhaps sweatshirt wouldve good idea,joy
hated work everyday no day next two week dont like job feel unsuccessful talk people,sadness
ran errand buy cora newborn sized sleeper not previously made newborn sized baby went lunch celebrate great feeling feel amazing no pain no pain med moving around almost completely normally day,surprise
declined purchase time enjoyed feeling squishing project thinking divine yarn,joy
feel no need work acceptable conversation fodder,joy
feel like make valued input tried much possible ensure equal part construction,joy
feel optimistic everything long time,joy
used word just feel energy anticipation people prepare delicious meal gather needed tool invite loved one home,joy
feel radiant bright accomplished happy,joy
feel kind acceptance song gave photo kind ecstatic ascension higher level conscience aesthetic like rapture sort,joy
no longer feel doomed falling abyss no way,sadness
ive getting making feel suspicious like someone elses great work trying get credit,fear
ill likely post later feel free ask question,joy
feeling so melancholy alone,sadness
feel so unloved without next im,sadness
im big guy ive gotten rig weve worked try see feel like let tell less pleasant,joy
feel like move sleep glad enjoyed week good sleep mentioned feeling,joy
feeling adventurous though so went asian flavor ginger sesame oil salad,joy
feel heart tortured done,anger
balancing hand foot hanging feel like pretty far im terrified let drop im totally calm time hanging,fear
still feeling hesitant last night woke found made decision slatebook somewhat surprise wanted,fear
just finished watching korean drama secret garden omg feeling way girl show mixture hope little tug truth say romantic gesture exist film,love
know make feel generous,joy
feeling dissatisfied several time,anger
feel amazed thankful life,surprise
walked refuge feeling perfect shelter storm,joy
feel gracious presence even,joy
feel tender touch enfold love,love
think point yet foresee lot traffic bed crib old enough no longer feel acceptable answer dark,joy
feel like damaged good no one want,sadness
put without word since just cant type so lovely morning yes im feeling sarcastic today,anger
made chilli oil monday feeling dangerous,anger
know met person feel so honored able come together grow closer god,joy
still feel lucky though,joy
feel kinda bitchy cranky need try take nap,anger
just feel greedy lame making one,anger
feel like not surprised development,surprise
know no picnic not feel defeated get first contraction immediately decide go epidural induced section whatever may,sadness
feel very important fancy room fancy furniture nice view downtown dallas,joy
feel suffering bear take refuge lord blessed sacrament speak profound silence,sadness
feel embarrassed got so bad,sadness
dropped script left feeling dissatisfied,anger
feel information vital moving day not complete read,joy
honestly feel extremely shy ask friend take picture vain must think,fear
feeling hell kid shooting dagger eye annoyed he standing holding flower,anger
party met girl drew,anger
feel irritable number people came office whining circumstance realize im not practicing thinking good thing find better way pull present,anger
im not feeling jolly least,joy
feel would foolish perhaps little disrespectful consider long hilly race,sadness
know else describe except say feeling three week beloved grandmother passed away,joy
feel dissatisfied accustomed healing,anger
im just feeling emo bitchy atm,anger
stop feeling guilty,sadness
just feel safer working part time casual hr,joy
feel pain vein oh so vain insane,sadness
feel assaulted shit storm confusion anger hurt feeling tsunami u away,fear
ive feeling adoring fan would teh whole like friend felt brave excited ventrured forth guitar hand local open mic night,love
not conducted survey quite likely many feel assaulted onel demon creator would felt wall covered eminent figure patriotic hero epic deed,sadness
still feel nervous,fear
right handed however play billiards left handed naturally so trying play right handed feel weird,surprise
feel wholly inadequate task,sadness
nothing today feel little regretful,sadness
im feeling restless frustrated right way specific people recovering illness injury,fear
feel so scared voice start speak,fear
feel like red purple just so rich kind perfect,joy
I don't feel love,neutral
began feel little anxious may almost obviously time running amp honest im just plumb excuse,fear
see momo feel shy momo hmmm gt heyy momo,fear
li pouring corner moonlight shine face saw pale face mouth half closed eye bear people feel distressed,fear
feeling pretty distracted thing going so felt good go clear mind,anger
spend lot time feeling disappointed not better job attaining goal,sadness
feel like wimpy canoe floating towards rising tsunami,fear
feel need know depend put position supporting someone else supported someone else,love
feel assured gun locked away gun safe making impossible child access,joy
cooking dinner feeling pretty melancholy zane lowe gave first spin radio one show tuesday song matched mood perfectly,sadness
forgive accepting allowing feeling going get punished something wrong,sadness
keep fighting life truly run fight close enough twice know bit feel like not yet no matter despairing feel,sadness
feel virtuous just looking picture book,joy
feel duty unimportant profession just not qualified discus,sadness
person helping realized inspired people start charity work help feel proud,joy
ive come feel supporting character one time favorite film giant,joy
feel ugly cover beautiful blanket make believe gown,sadness
im always feeling so agitated overly excited impatient close,anger
feel bit stressed even though thing going fun,anger
feel guilty wont able give little one amount time just,sadness
litsen music feel so much pride think gave birth amazingly talented child one day early teen picked guitar just played like second nature,joy
feeling currently anything resolved feeling change,joy
kinda get real attached excited feel way never handle thing well others would,joy
feel god life ever thing so wonderful right,joy
I don't feel joy,neutral
point feeling resentful toward want,anger
feel gorgeous yes,joy
feel so relaxed happy im water,joy
feel drained physically sore work,sadness
feeling little fearful trying eat damn thing,fear
ive started feeling like almost nothing worth getting agitated,fear
ive feeling bit melancholy,sadness
didint feel love caring,love
feel need explain thought way clever funny maybe even insightful,joy
feel slightly saddened know kid also resigned absence,sadness
usually ignore page invite irrelevant facebook game invite impersonal feel insincere,anger
grab air smooth frame feel cold touch,anger
feel like breathing delicate dried rose petal sometimes,love
im feeling rotten pretending just aint so,sadness
feel like lot playful open girl know friend,joy
left feeling heartbroken losing child guilty parenting wife ing so far par last month,sadness
feel suffocated paranoid,fear
never draw side page like know add drawing feel like rather feeling pressured finished one go,fear
went around rest day feeling distressed changed appearance based someone comment made even coincidence appealing just felt wrong wrong wrong,fear
feel terribly remourseful didnt stay faithful plan get sooner,love
ive blogged feel strange,surprise
feel could gentle light future,love
need extra guidance feeling doubtful god seems put right message ear need just right time,fear
feeling need christmas crafting week especially seeing couple lovely quilty christmas project stitch group,love
im amazed many men say feel unloved house messy fix dinner,sadness
feel rich life real online filled friend family would not want live without,joy
every intention gardening morning still cool just feeling so rotten,sadness
always feel like amazing style day choose comfort anything else one thing feel make difference feel makeup,joy
working right guy feel horny so much passion,love
feel strong dont let anger win,joy
suppose feel little inhibited come picking phone calling someone not very close anymore,sadness
feel like shy away triggering stereotype person scream break thing didnt get eat favorite kind sandwich,fear
just keep feeling like someone unkind wrong think get back people close,anger
feel so contented job,joy
buy something go look else didnt buy bit comparison suddenly feel dissatisfied purchase,anger
really go looking definately see enjorlas marius ship come though sadly feel mostly one sided marius nothing rich schoolboy following whim without thought concequences,joy
im feeling extremely fabulous jacket shoe aint no bitch gon na bring hahah,joy
ive feeling briar beagle would give one disgusted look even tried exercising souless surroundings,anger
im feeling so embarrassed frightened wouldve smashed window slid duke hazzard style would get garage man stop glaring,sadness
ive taken yoga class year past day feeling very anxious abou,fear
feel like rushed relationship,anger
im group people still feel isolated outside looking,sadness
im feeling envious already,anger
start working full time next week currently feeling bit ungrateful moment,sadness
im feeling way often blindly carefree day youth uncharted water maturity aka midlife crisis explore transformation via one favorite thing tracy anderson method,joy
admit feel amused see pti jamiat whole lot others medium try avoid suggestion actually protesting use sharia case raymond davis release,joy
sure meant celebration various shade red feel insulted,anger
either feel submissive agree taking pain someone not option presented,sadness
feel like ive gotten know many comment email im appreciative glad part little space,joy
dont want make blog something just whine time feel like ive beaten two four something,sadness
tune rest world focus rhythm needle softness yarn time feel peaceful,joy
feel loyal especially ive experienced recently trust,love
feeling outraged show everywhere,anger
feeling fairly keen,joy
must confess im still feeling very uncertain god going work everything,fear
wake too early so feel grumpy,anger
mentioned last blog started get feeling pressured studying thing not like also made person might not fully,fear
asked meant shes gon na feel jealous loada girl said maybee like bitt,anger
im happy feel energy not very inspired craft,joy
im feeling bit uncomfortable too,fear
looking vest top short long one due feel paranoid cellulite everywhere,fear
even feel little shaky,fear
could maybe get away simpler folk melody song something fairly predictable just guitar would end feeling dull,sadness
im not feeling sorry though just think poor people lost life everything due sandy,sadness
feel like everythings going happen ive disillusioned whole time,sadness
feel very honored much shared expressed trust,joy
