text,label,text_length,word_count,cleaned_text,processed_text,word_count_processed,processed_length
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,89,18,i feel like my only role now would be to tear your sails with my pessimism and discontent,feel like role would tear sail pessimism discontent,8,51
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,114,26,i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,feel just bcoz fight get mad wan na make publicity let world know fight,14,71
i feel like reds and purples are just so rich and kind of perfect,joy,65,14,i feel like reds and purples are just so rich and kind of perfect,feel like red purple just so rich kind perfect,9,46
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,182,42,im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,im not sure feeling loss ever go away may dull sweet feeling nostalgia shared life dad luck dad year,19,100
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,144,29,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,feel like ive gotten know many comment email im appreciative glad part little space,14,83
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,217,46,i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,survey post last year feel pleased vague snippet feel little bit capture like someone like dublin st century,18,108
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,156,31,i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,also tell hope anyone still feeling stigmatized ashamed mental health issue let go stigma let go shame,17,102
i don t feel guilty like i m not going to be able to cook for him,sadness,65,17,i don t feel guilty like i m not going to be able to cook for him,feel guilty like not going able cook,7,36
i hate it when i feel fearful for absolutely no reason,fear,54,11,i hate it when i feel fearful for absolutely no reason,hate feel fearful absolutely no reason,6,38
i am feeling outraged it shows everywhere,anger,41,7,i am feeling outraged it shows everywhere,feeling outraged show everywhere,4,32
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,91,20,i stole a book from one of my all time favorite authors and now i feel like a rotten person,stole book one time favorite author feel like rotten person,10,59
i do feel insecure sometimes but who doesnt,fear,43,8,i do feel insecure sometimes but who doesnt,feel insecure sometimes doesnt,4,30
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,169,31,i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,highly recommend visiting wednesday youre able less crowded so get ask farmer question without feeling rude holding line,18,120
ive been missing him and feeling so restless at home thinking of him,fear,68,13,ive been missing him and feeling so restless at home thinking of him,ive missing feeling so restless home thinking,7,45
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,114,23,i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,posted facebook page earlier week ive feeling little grumpy sort past day,12,73
i start to feel emotional,sadness,25,5,i start to feel emotional,start feel emotional,3,20
i feel so cold a href http irish,anger,32,8,i feel so cold a href http irish,feel so cold href http irish,6,28
i feel like i m defective or something for not having baby fever,sadness,64,13,i feel like i m defective or something for not having baby fever,feel like defective something not baby fever,7,44
i feel more virtuous than when i eat veggies dipped in hummus,joy,61,12,i feel more virtuous than when i eat veggies dipped in hummus,feel virtuous eat veggie dipped hummus,6,38
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,208,37,i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,feel very honoured included magzine prioritises health clean living so highly im curious read magazine concerned health clean lifestyle green parent,21,148
i spent the last two weeks of school feeling miserable,sadness,54,10,i spent the last two weeks of school feeling miserable,spent last two week school feeling miserable,7,44
im feeling very peaceful about our wedding again now after having,joy,65,11,im feeling very peaceful about our wedding again now after having,im feeling very peaceful wedding,5,32
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,127,26,i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,talking coach claudia barcomb coach ali boe long time made feel very welcomed union,14,83
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,135,27,i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,feel completely hated thing exercise democratic right speak mind ever way possible try enact change,15,99
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,172,32,i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,feel humiliated embarrassed foolish remember others felt way kind thing kind helpful accepting,13,94
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,85,19,i feel reassured that i am dealing with my diet in the right way and that all is good,feel reassured dealing diet right way good,7,42
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,95,18,i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,feel agree even though imagine rather unpleasant possible case,9,62
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,133,25,im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,im happy mood today feel almost delighted havent done anything different today normally wonderful,14,97
im feeling really out of place and irritated,anger,44,8,im feeling really out of place and irritated,im feeling really place irritated,5,33
i also know that i feel nothing than a friendly affection to them too,joy,69,14,i also know that i feel nothing than a friendly affection to them too,also know feel nothing friendly affection too,7,45
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,102,22,i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,feel like rather productive weekend cant always say no matter much get done,13,75
im feeling insecure at the moment,fear,33,6,im feeling insecure at the moment,im feeling insecure moment,4,26
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,103,23,i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,feeling pretty anxious day first day work very good day helped lot,12,66
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,116,28,i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,stood finally stood feel like im punished could go back,10,55
i feel a little nervous i go to the gym,fear,39,10,i feel a little nervous i go to the gym,feel little nervous go gym,5,26
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,172,31,i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,feel like could go situation become successful competing life explained schaub interview href http bleacherreport,15,113
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,76,18,i can t stop the anxiety i feel when i m alone when i ve got no distractions,stop anxiety feel alone got no distraction,7,42
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,97,20,im trying to feel out my house style now that im living on my own and have creative carte blanche,im trying feel house style im living creative carte blanche,10,59
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,191,40,i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,tried see would like liked one girl friend never really worked ever feel emotional connection friend,16,100
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,115,22,i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,every intention gardening morning still cool just feeling so rotten,10,67
i have a good feeling about this so i am excited,joy,48,11,i have a good feeling about this so i am excited,good feeling so excited,4,23
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,116,22,i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,feel like just starting understand blessing come submissive father,9,66
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,167,35,i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,think thing ive said stuff done make feel disgusted making happy smile far,13,74
i woke up yesterday monday morning feeling a little depressed,sadness,61,10,i woke up yesterday monday morning feeling a little depressed,woke yesterday monday morning feeling little depressed,7,54
i feel so embarrassed,sadness,21,4,i feel so embarrassed,feel so embarrassed,3,19
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,235,45,i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,spent wandering around still kinda dazed not feeling particularly sociable id hiding couple day getting little unhealthy made go cross hang folk,22,144
i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,78,14,i can honestly say that after each sistahs chat i feel invigorated and blessed,honestly say sistahs chat feel invigorated blessed,7,50
i still feel stupid to be in that class this is all cause off pbss fault,sadness,72,16,i still feel stupid to be in that class this is all cause off pbss fault,still feel stupid class cause pbs fault,7,39
i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,surprise,121,24,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,feel little stunned imagine folk working studio morning feeling,9,63
i admit im feeling a little bit unloved at this point,sadness,53,11,i admit im feeling a little bit unloved at this point,admit im feeling little bit unloved point,7,41
i feel a bit stressed even though all the things i have going on are fun,anger,72,16,i feel a bit stressed even though all the things i have going on are fun,feel bit stressed even though thing going fun,8,45
im feeling pretty anxious,fear,25,4,im feeling pretty anxious,im feeling pretty anxious,4,25
i feel shocked and sad at the fact that there are so many sick people,surprise,69,15,i feel shocked and sad at the fact that there are so many sick people,feel shocked sad fact so many sick people,8,41
i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,joy,197,35,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,think always proponent idea just slightly possible feeling particularly charming new england girl brought around way thinking,17,125
i feel like a naughty school girl because i am falling behind,love,61,12,i feel like a naughty school girl because i am falling behind,feel like naughty school girl falling behind,7,44
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise,110,20,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,right handed however play billiards left handed naturally so trying play right handed feel weird,15,96
i can feel that they are kind friendly and can understand my feelings,joy,69,13,i can feel that they are kind friendly and can understand my feelings,feel kind friendly understand feeling,5,37
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,119,25,i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,go overseas cross border become foreigner feel way never beloved land,11,69
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger,140,27,i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,feel disgusted man power talk electricity problem area say even house similar problem,13,85
i feel transcendant and splendid,joy,32,5,i feel transcendant and splendid,feel transcendant splendid,3,26
i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness,103,17,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,finally arrived home couple hour later feeling somewhat exhausted dehydrated even sun burnt,13,91
i am feeling totally relaxed and comfy,joy,38,7,i am feeling totally relaxed and comfy,feeling totally relaxed comfy,4,29
i want each of you to feel my gentle embrace,love,44,10,i want each of you to feel my gentle embrace,want feel gentle embrace,4,24
i feel privileged in my world,joy,29,6,i feel privileged in my world,feel privileged world,3,21
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger,122,24,i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,not people person fuckin reason people feel come bore fuckin petty garbage,12,74
i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness,91,18,i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,realized mistake really feeling terrible thinking,6,49
i suppose i feel too trusting sometimes,joy,39,7,i suppose i feel too trusting sometimes,suppose feel too trusting sometimes,5,35
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,102,19,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,came home waiting shower read something made upset thats feel discontent haha,12,77
i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness,151,30,i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,woke feeling crappy tired fighting feeling day maybe pollen barometric pressure dont know know kilter,15,101
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,107,23,i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,feel like paradise kissing sweet lip make feel like dive magical world love,13,75
i am feeling so happy,joy,21,5,i am feeling so happy,feeling so happy,3,16
i am running at an approximate minute pace which i feel is quite acceptable,joy,75,14,i am running at an approximate minute pace which i feel is quite acceptable,running approximate minute pace feel quite acceptable,7,53
i feel so disappointed when my ex girlfriend doesn t call me back,sadness,65,13,i feel so disappointed when my ex girlfriend doesn t call me back,feel so disappointed ex girlfriend call back,7,44
i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy,153,31,i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,feeling people using need enjoying feeling fly carefree tongue alright,10,70
i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear,128,24,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,feeling uncertain merit posting blog frequency earnestness previous year,9,72
i just plain feel envious of the self confidence they had,anger,57,11,i just plain feel envious of the self confidence they had,just plain feel envious self confidence,6,39
i was feeling weird the other day and it went away about minutes after i took my metformin,fear,90,18,i was feeling weird the other day and it went away about minutes after i took my metformin,feeling weird day went away minute took metformin,8,49
when a friend dropped a frog down my neck,anger,41,9,when a friend dropped a frog down my neck,friend dropped frog neck,4,24
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger,95,17,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,im feeling angry someone something thoughtful feeling toward soften,9,67
i love neglecting this blog but sometimes i feel for my faithful readers,love,72,13,i love neglecting this blog but sometimes i feel for my faithful readers,love neglecting blog sometimes feel faithful reader,7,51
i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,sadness,154,29,i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,lay bed feeling though awaiting unwelcome visitor nevertheless told strong thought good thing felt better,15,105
i feel my heart is tortured by what i have done,anger,47,11,i feel my heart is tortured by what i have done,feel heart tortured done,4,24
i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,sadness,102,22,i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,still feeling weepy strung so maggie treated ice cream movie href http www,13,74
i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,sadness,113,24,i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,feel needy comfortable feel vulnerable secure feel urge cum hard get no relief,13,78
i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,sadness,109,17,i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,journaled tendency sometimes overcommit make feel exhausted overwhelmed,8,71
i started out feeling discouraged this morning,sadness,46,7,i started out feeling discouraged this morning,started feeling discouraged morning,4,35
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear,117,20,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,feel agitated not foresee frustration earlier leading ending relationship,9,73
i grab it from the air its smooth frame feels cold to the touch,anger,63,14,i grab it from the air its smooth frame feels cold to the touch,grab air smooth frame feel cold touch,7,37
i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger,117,25,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,angry boyfriend promised come see not spent evening pal,9,55
i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,joy,144,32,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,hate sitting hostel writing feeling so perfectly fine get home problem wall,12,75
i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,joy,92,20,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,exercise feel energetic able perform task very good manner,9,58
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,181,36,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss valerie wrote less month diagnosis,20,125
im feeling pretty disheartened by the whole thing,sadness,49,8,im feeling pretty disheartened by the whole thing,im feeling pretty disheartened whole thing,6,42
i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy,94,20,i feel that an input from me will be valued as being less potent than say that of irfan pathan,feel input valued less potent say irfan pathan,8,46
i feel is he generous,love,21,5,i feel is he generous,feel generous,2,13
i even feel a little shaky,fear,26,6,i even feel a little shaky,even feel little shaky,4,22
i am feeling better though i dont sound it,joy,42,9,i am feeling better though i dont sound it,feeling better though dont sound,5,32
i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,sadness,155,34,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,always feel troubled road touring living van recently circus bus no place hang hat song lyric,16,93
i feel our world then was a much more innocent place,joy,52,11,i feel our world then was a much more innocent place,feel world much innocent place,5,30
i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy,103,19,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,feel thoroughly virtuous even daily trip compost bin pleasant experience,10,72
im not feeling anything suspicious really,fear,41,6,im not feeling anything suspicious really,im not feeling anything suspicious really,6,41
i was feeling a little sentimental today,sadness,40,7,i was feeling a little sentimental today,feeling little sentimental today,4,32
i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy,287,58,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,feel like know starting develop like dislike though not keen snap eviction seemed pretty pointless first one go returned two webmates made absolutely zero impact so missed,27,171
i feel less whiney since the sun came out here in the sf area,sadness,61,14,i feel less whiney since the sun came out here in the sf area,feel less whiney since sun came sf area,8,39
made a wonderfull new friend,joy,28,5,made a wonderfull new friend,made wonderfull new friend,4,26
i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,sadness,174,30,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,feel almost embarrassed mention single redshank common sandpiper would not want mention lone wood sandpiper present water edge,18,126
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger,84,19,i know its easy to feel a little envious of me and i cant tell you that you shouldnt,know easy feel little envious cant tell shouldnt,8,48
i would feel awful if she was here this whole time,sadness,50,11,i would feel awful if she was here this whole time,would feel awful whole time,5,27
i feel very mislead by someone that i really really thought i knew and liked very much so,love,89,18,i feel very mislead by someone that i really really thought i knew and liked very much so,feel very mislead someone really really thought knew liked very much so,12,71
i feel like we are doomed us humans,sadness,35,8,i feel like we are doomed us humans,feel like doomed u human,5,24
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear,172,37,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,going check just minute clock screen keep ticking minute left so feeling bit frantic,14,84
i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,sadness,134,30,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,got sleep could choose not woken alarm definitely take anything make feel so groggy,14,83
ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness,78,16,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,ive boring week feeling bit gloomy cause rainy day,9,50
i feel that this information is vital to moving on with your day and you re not complete until you read it,joy,106,22,i feel that this information is vital to moving on with your day and you re not complete until you read it,feel information vital moving day not complete read,8,51
im feeling generous today heres one more you may have already seen but is good for a chuckle,love,92,18,im feeling generous today heres one more you may have already seen but is good for a chuckle,im feeling generous today here one may already seen good chuckle,11,64
i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,sadness,171,37,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,feel awkward just calling one people blue hang rather familiar deeper level not kith kin,15,88
i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger,106,23,i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,like feeling get someone even little bit offended offhand remark made,11,69
i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger,92,21,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,get crumble thanks feeling need tell im one fucked,9,50
i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,joy,152,31,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,controlling growth business every time post work client feel even determined make full time business one day,17,108
i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear,101,18,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,pregnant dean spent rest pregnancy feeling terrified another baby,9,65
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,146,26,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,actually feel agitated led terrible day yesterday unable concentrate anything basically piddled day away,14,104
i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness,233,55,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,ed tell know feel shamed eating protein bar breakfast fact ate one make shameful fact make made hang head tuck tail,21,115
i feel radiant bright accomplished and happy,joy,44,7,i feel radiant bright accomplished and happy,feel radiant bright accomplished happy,5,38
i feel refrigerator magnets that were so popular a few years ago,joy,64,12,i feel refrigerator magnets that were so popular a few years ago,feel refrigerator magnet so popular year ago,7,44
i am feeling very touch deprived with all that has been happening,sadness,65,12,i am feeling very touch deprived with all that has been happening,feeling very touch deprived happening,5,37
i am feeling apprehensive about it but also wildly excited,fear,58,10,i am feeling apprehensive about it but also wildly excited,feeling apprehensive also wildly excited,5,40
i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,joy,128,25,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,feeling pretty relaxed time boarded very new looking airbus headed hazy sky en route honolulu,15,93
i am a quiet person but what i have to say i feel is important,joy,62,15,i am a quiet person but what i have to say i feel is important,quiet person say feel important,5,31
i think i started to feel a little homesick,sadness,43,9,i think i started to feel a little homesick,think started feel little homesick,5,34
i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy,155,34,i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,feeling eager start work man work literally say so uhm guy want go back see find anything,17,89
i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear,171,35,i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support too tight too loose,19,120
im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear,100,17,im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,im feeling reluctant exit freshly cleaned apartment stayed cleaning late last night,12,83
i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love,153,30,i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,feel need know depend put position supporting someone else supported someone else,12,81
im feeling rather angsty and listless,sadness,37,6,im feeling rather angsty and listless,im feeling rather angsty listless,5,33
i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love,139,28,i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,try best love shed light feel deeply compassionate problem hurt even someone medium,13,83
